In	Amp	Phase
1.268265915606262006e-01	1.943159959059489594e+01	2.364467098713685100e+00
1.270019476114791213e-01	1.942302825467782057e+01	2.364034716501571154e+00
1.271775461173582089e-01	1.941446052955749479e+01	2.363601953828808444e+00
1.273533874134924193e-01	1.940589641998375114e+01	2.363168810353829752e+00
1.275294718355743373e-01	1.939733593071275664e+01	2.362735285735032775e+00
1.277057997197606765e-01	1.938877906650699146e+01	2.362301379630778353e+00
1.278823714026728620e-01	1.938022583213527739e+01	2.361867091699397125e+00
1.280591872213977800e-01	1.937167623237278491e+01	2.361432421599184650e+00
1.282362475134883606e-01	1.936313027200100834e+01	2.360997368988409839e+00
1.284135526169643826e-01	1.935458795580780489e+01	2.360561933525310074e+00
1.285911028703128345e-01	1.934604928858736983e+01	2.360126114868096092e+00
1.287688986124887469e-01	1.933751427514027554e+01	2.359689912674952872e+00
1.289469401829158035e-01	1.932898292027344311e+01	2.359253326604041412e+00
1.291252279214870902e-01	1.932045522880016364e+01	2.358816356313499174e+00
1.293037621685655114e-01	1.931193120554010534e+01	2.358379001461442748e+00
1.294825432649846231e-01	1.930341085531932066e+01	2.357941261705968294e+00
1.296615715520492429e-01	1.929489418297022141e+01	2.357503136705153324e+00
1.298408473715360889e-01	1.928638119333162848e+01	2.357064626117058470e+00
1.300203710656943901e-01	1.927787189124874700e+01	2.356625729599730157e+00
1.302001429772466912e-01	1.926936628157318054e+01	2.356186446811199264e+00
1.303801634493892692e-01	1.926086436916293110e+01	2.355746777409485126e+00
1.305604328257930213e-01	1.925236615888240976e+01	2.355306721052595975e+00
1.307409514506039372e-01	1.924387165560244028e+01	2.354866277398531160e+00
1.309217196684439311e-01	1.923538086420026261e+01	2.354425446105281594e+00
1.311027378244113140e-01	1.922689378955953288e+01	2.353984226830832860e+00
1.312840062640816263e-01	1.921841043657033410e+01	2.353542619233164324e+00
1.314655253335081375e-01	1.920993081012917258e+01	2.353100622970254907e+00
1.316472953792226785e-01	1.920145491513900993e+01	2.352658237700078647e+00
1.318293167482360861e-01	1.919298275650922392e+01	2.352215463080613134e+00
1.320115897880391187e-01	1.918451433915564763e+01	2.351772298769835068e+00
1.321941148466029003e-01	1.917604966800056587e+01	2.351328744425725592e+00
1.323768922723797536e-01	1.916758874797270096e+01	2.350884799706270289e+00
1.325599224143036714e-01	1.915913158400725180e+01	2.350440464269462293e+00
1.327432056217912049e-01	1.915067818104586550e+01	2.349995737773300952e+00
1.329267422447420188e-01	1.914222854403665863e+01	2.349550619875796720e+00
1.331105326335395023e-01	1.913378267793422438e+01	2.349105110234971150e+00
1.332945771390514900e-01	1.912534058769962897e+01	2.348659208508858676e+00
1.334788761126310397e-01	1.911690227830041167e+01	2.348212914355508385e+00
1.336634299061169595e-01	1.910846775471060610e+01	2.347766227432985353e+00
1.338482388718344740e-01	1.910003702191072605e+01	2.347319147399374195e+00
1.340333033625959736e-01	1.909161008488778322e+01	2.346871673912776401e+00
1.342186237317017083e-01	1.908318694863529075e+01	2.346423806631317444e+00
1.344042003329403989e-01	1.907476761815325261e+01	2.345975545213144109e+00
1.345900335205899023e-01	1.906635209844818490e+01	2.345526889316428054e+00
1.347761236494179338e-01	1.905794039453311939e+01	2.345077838599368025e+00
1.349624710746827050e-01	1.904953251142759640e+01	2.344628392720190746e+00
1.351490761521336736e-01	1.904112845415767197e+01	2.344178551337151806e+00
1.353359392380120707e-01	1.903272822775593198e+01	2.343728314108539657e+00
1.355230606890518441e-01	1.902433183726148869e+01	2.343277680692674725e+00
1.357104408624800196e-01	1.901593928771998776e+01	2.342826650747912520e+00
