In	v1	v2
-0.0003788156797331109	7.20e-01	-5.00e+00
-0.0003778148457047539	6.80e-01	-4.80e+00
-0.000376814011676397	7.40e-01	-5.20e+00
-0.00037581317764804	7.00e-01	-5.20e+00
-0.00037481234361968303	7.60e-01	-4.80e+00
-0.0003738115095913261	7.00e-01	-5.00e+00
-0.0003728106755629691	7.60e-01	-5.40e+00
-0.00037180984153461214	7.60e-01	-5.40e+00
-0.0003708090075062552	7.00e-01	-5.00e+00
-0.00036980817347789823	7.20e-01	-5.20e+00
-0.00036880733944954125	7.80e-01	-5.60e+00
-0.0003678065054211843	7.80e-01	-5.20e+00
-0.0003668056713928273	7.40e-01	-5.60e+00
-0.00036580483736447036	7.40e-01	-5.40e+00
-0.00036480400333611343	8.00e-01	-6.00e+00
-0.0003638031693077564	7.60e-01	-5.60e+00
-0.00036280233527939947	8.20e-01	-6.00e+00
-0.00036180150125104255	7.60e-01	-6.00e+00
-0.0003608006672226855	8.20e-01	-5.60e+00
-0.0003597998331943286	7.80e-01	-5.80e+00
-0.00035879899916597166	8.40e-01	-6.20e+00
-0.0003577981651376146	7.80e-01	-5.80e+00
-0.0003567973311092577	8.40e-01	-6.40e+00
-0.0003557964970809007	8.00e-01	-6.00e+00
-0.0003547956630525438	8.60e-01	-6.40e+00
-0.0003537948290241868	8.60e-01	-6.20e+00
-0.0003527939949958298	8.20e-01	-6.60e+00
-0.00035179316096747284	8.20e-01	-6.60e+00
-0.0003507923269391159	8.80e-01	-6.20e+00
-0.00034979149291075893	8.40e-01	-6.40e+00
-0.00034879065888240195	9.00e-01	-6.80e+00
-0.000347789824854045	8.40e-01	-6.40e+00
-0.00034678899082568804	9.00e-01	-7.00e+00
-0.00034578815679733106	8.60e-01	-6.60e+00
-0.00034478732276897414	9.20e-01	-7.00e+00
-0.00034378648874061716	8.80e-01	-6.60e+00
-0.0003427856547122602	9.40e-01	-7.20e+00
-0.00034178482068390325	9.00e-01	-6.80e+00
-0.00034078398665554627	9.40e-01	-7.20e+00
-0.0003397831526271893	9.00e-01	-7.00e+00
-0.00033878231859883236	9.60e-01	-7.40e+00
-0.0003377814845704754	9.60e-01	-7.00e+00
-0.0003367806505421184	9.20e-01	-7.60e+00
-0.00033577981651376147	9.20e-01	-7.40e+00
-0.0003347789824854045	9.80e-01	-7.80e+00
-0.0003337781484570475	9.80e-01	-7.40e+00
-0.0003327773144286905	9.40e-01	-8.00e+00
-0.0003317764804003336	9.40e-01	-7.60e+00
-0.0003307756463719766	1.00e+00	-8.00e+00
-0.00032977481234361964	9.60e-01	-7.60e+00
-0.0003287739783152627	1.00e+00	-8.20e+00
-0.00032777314428690573	9.60e-01	-7.80e+00
-0.00032677231025854875	1.02e+00	-8.20e+00
-0.0003257714762301918	9.80e-01	-8.40e+00
-0.00032477064220183484	1.04e+00	-8.00e+00
-0.00032376980817347786	9.80e-01	-8.60e+00
-0.00032276897414512093	1.04e+00	-8.00e+00
-0.00032176814011676395	1.04e+00	-8.20e+00
-0.00032076730608840697	1.00e+00	-8.80e+00
-0.00031976647206005004	1.00e+00	-8.40e+00
-0.00031876563803169306	1.06e+00	-8.80e+00
-0.0003177648040033361	1.02e+00	-8.40e+00
-0.00031676396997497915	1.08e+00	-9.00e+00
-0.00031576313594662217	1.02e+00	-8.60e+00
-0.0003147623019182652	1.08e+00	-9.20e+00
-0.0003137614678899082	1.04e+00	-8.80e+00
-0.0003127606338615513	1.10e+00	-9.20e+00
-0.0003117597998331943	1.10e+00	-9.00e+00
-0.0003107589658048373	1.04e+00	-9.60e+00
-0.0003097581317764804	1.06e+00	-9.20e+00
-0.0003087572977481234	1.12e+00	-9.60e+00
-0.00030775646371976643	1.06e+00	-9.40e+00
-0.0003067556296914095	1.12e+00	-9.80e+00
-0.0003057547956630525	1.08e+00	-9.40e+00
-0.00030475396163469554	1.14e+00	-1.00e+01
-0.0003037531276063386	1.08e+00	-9.60e+00
-0.00030275229357798163	1.16e+00	-1.00e+01
-0.00030175145954962465	1.10e+00	-9.80e+00
-0.0003007506255212677	1.18e+00	-1.02e+01
-0.00029974979149291074	1.18e+00	-1.04e+01
-0.00029874895746455376	1.12e+00	-9.80e+00
-0.00029774812343619683	1.14e+00	-1.00e+01
-0.00029674728940783985	1.20e+00	-1.06e+01
-0.00029574645537948287	1.20e+00	-1.02e+01
